date,type,amount,category,description
2025-11-16,expense,4292.31,Entertainment,Entertainment expense
2025-03-20,expense,217.65,Food,Food expense
2025-03-21,income,8459.01,Salary,Salary income
2025-02-27,expense,1978.4,Travel,Travel expense
2025-09-12,expense,3593.27,Subscriptions,Subscriptions expense
2025-12-14,income,25979.57,Freelancing,Freelancing income
2025-10-23,expense,4726.35,Snacks,Snacks expense
2025-10-30,expense,2573.06,Rent,Rent expense
2025-10-31,expense,2295.96,Subscriptions,Subscriptions expense
2025-04-13,expense,2964.69,Household,Household expense
2025-12-01,expense,1830.63,Education,Education expense
2025-10-21,expense,2327.62,Shopping,Shopping expense
2025-03-04,expense,4103.37,Shopping,Shopping expense
2025-12-11,expense,3599.52,Transport,Transport expense
2025-07-07,expense,4684.89,Rent,Rent expense
2025-12-29,income,30316.12,Part-time,Part-time income
2025-08-14,expense,2307.44,Food,Food expense
2025-03-19,expense,1029.05,Bills,Bills expense
2025-05-10,expense,4094.76,Household,Household expense
2025-10-17,expense,3670.29,Snacks,Snacks expense
2025-02-16,expense,526.84,Shopping,Shopping expense
2025-10-14,expense,3970.67,Education,Education expense
2025-10-03,expense,685.1,Health,Health expense
2025-05-07,expense,2011.93,Education,Education expense
2025-02-27,expense,689.77,Household,Household expense
2025-03-22,expense,4593.75,Bills,Bills expense
2025-11-06,expense,2063.78,Shopping,Shopping expense
2025-07-03,expense,3691.94,Entertainment,Entertainment expense
2025-07-21,expense,3295.03,Snacks,Snacks expense
2025-01-30,expense,224.96,Rent,Rent expense
2025-12-21,expense,4476.5,Health,Health expense
2025-06-29,expense,1466.74,Snacks,Snacks expense
2025-08-11,income,47467.76,Part-time,Part-time income
2025-10-31,expense,4309.61,Shopping,Shopping expense
2025-01-10,expense,1911.86,Transport,Transport expense
2025-02-06,expense,1319.46,Bills,Bills expense
2025-12-04,expense,3837.76,Groceries,Groceries expense
2025-05-05,expense,511.23,Travel,Travel expense
2025-01-17,income,49998.01,Freelancing,Freelancing income
2025-07-07,expense,2292.67,Household,Household expense
2025-03-09,expense,3754.62,Education,Education expense
2025-04-04,expense,4772.42,Snacks,Snacks expense
2025-01-11,expense,1916.47,Bills,Bills expense
2025-10-18,expense,245.6,Education,Education expense
2025-10-28,expense,548.32,Food,Food expense
2025-04-03,income,19511.7,Freelancing,Freelancing income
2025-06-11,expense,779.22,Rent,Rent expense
2025-02-07,expense,2360.04,Rent,Rent expense
2025-04-10,expense,2664.36,Household,Household expense
2025-01-23,expense,3032.15,Rent,Rent expense
2025-12-10,expense,3694.38,Rent,Rent expense
2025-06-14,expense,519.95,Groceries,Groceries expense
2025-10-26,expense,1848.94,Food,Food expense
2025-01-13,expense,2275.25,Subscriptions,Subscriptions expense
2025-10-04,income,20185.8,Freelancing,Freelancing income
2025-01-15,expense,588.12,Snacks,Snacks expense
2025-06-16,expense,3901.12,Fuel,Fuel expense
2025-01-06,expense,3158.18,Snacks,Snacks expense
2025-07-26,expense,3859.92,Transport,Transport expense
2025-04-15,expense,3193.55,Education,Education expense
2025-09-09,expense,4886.51,Rent,Rent expense
2025-04-06,expense,2559.12,Shopping,Shopping expense
2025-03-08,expense,3087.53,Entertainment,Entertainment expense
2025-06-12,expense,2296.99,Education,Education expense
2025-01-30,expense,3896.9,Transport,Transport expense
2025-07-19,expense,2816.67,Entertainment,Entertainment expense
2025-03-16,expense,255.35,Travel,Travel expense
2025-07-11,expense,1377.86,Household,Household expense
2025-04-16,income,9542.82,Gift,Gift income
2025-09-09,income,23262.33,Bonus,Bonus income
2025-12-22,expense,1900.95,Rent,Rent expense
2025-06-04,expense,2445.21,Rent,Rent expense
2025-06-24,expense,4933.09,Entertainment,Entertainment expense
2025-12-21,expense,958.54,Transport,Transport expense
2025-01-28,expense,4979.63,Transport,Transport expense
2025-02-21,expense,457.18,Bills,Bills expense
2025-01-23,expense,3474.64,Rent,Rent expense
2025-03-30,expense,4399.62,Rent,Rent expense
2025-03-26,expense,2692.42,Bills,Bills expense
2025-02-06,expense,1441.48,Bills,Bills expense
2025-07-19,income,29205.99,Gift,Gift income
2025-10-21,expense,4632.05,Health,Health expense
2025-01-29,expense,3208.0,Travel,Travel expense
2025-12-29,income,38950.81,Bonus,Bonus income
2025-11-15,income,34877.5,Part-time,Part-time income
2025-01-27,expense,2083.51,Fuel,Fuel expense
2025-02-01,income,42631.33,Bonus,Bonus income
2025-09-22,expense,1909.05,Bills,Bills expense
2025-02-17,expense,4319.43,Household,Household expense
2025-10-27,expense,1779.23,Snacks,Snacks expense
2025-08-06,expense,4445.31,Food,Food expense
2025-06-22,expense,4512.72,Travel,Travel expense
2025-11-25,expense,1469.78,Subscriptions,Subscriptions expense
2025-07-08,expense,2061.73,Rent,Rent expense
2025-11-18,expense,1776.44,Groceries,Groceries expense
2025-01-05,expense,3714.46,Health,Health expense
2025-03-31,expense,98.96,Rent,Rent expense
2025-12-20,expense,1190.34,Education,Education expense
2025-06-01,expense,354.64,Groceries,Groceries expense
2025-10-30,expense,3237.58,Subscriptions,Subscriptions expense
2025-07-08,expense,1626.05,Groceries,Groceries expense
2025-11-10,expense,2325.6,Subscriptions,Subscriptions expense
2025-09-06,expense,4440.61,Education,Education expense
2025-06-27,expense,2872.92,Entertainment,Entertainment expense
2025-02-28,expense,821.44,Rent,Rent expense
2025-10-14,expense,1433.6,Snacks,Snacks expense
2025-08-16,expense,630.16,Groceries,Groceries expense
2025-12-06,expense,784.55,Bills,Bills expense
2025-05-20,expense,893.63,Entertainment,Entertainment expense
2025-02-02,expense,919.03,Bills,Bills expense
2025-02-18,expense,1182.61,Household,Household expense
2025-09-02,expense,2284.57,Snacks,Snacks expense
2025-05-28,expense,515.68,Bills,Bills expense
2025-06-19,income,24139.53,Part-time,Part-time income
2025-06-08,expense,3595.61,Bills,Bills expense
2025-07-10,income,20369.3,Gift,Gift income
2025-04-04,expense,3683.33,Rent,Rent expense
2025-03-23,expense,1170.69,Entertainment,Entertainment expense
2025-11-13,expense,3119.06,Health,Health expense
2025-09-27,expense,4077.41,Fuel,Fuel expense
2025-01-15,expense,4541.88,Health,Health expense
2025-09-16,expense,4748.89,Subscriptions,Subscriptions expense
2025-06-13,expense,3067.19,Rent,Rent expense
2025-10-18,expense,2157.01,Snacks,Snacks expense
2025-04-30,expense,421.38,Food,Food expense
2025-06-30,expense,1514.93,Transport,Transport expense
2025-02-08,expense,4723.33,Subscriptions,Subscriptions expense
2025-09-27,income,5747.37,Gift,Gift income
2025-05-27,expense,1110.27,Entertainment,Entertainment expense
2025-07-05,expense,1923.61,Shopping,Shopping expense
2025-12-27,expense,3529.87,Household,Household expense
2025-11-22,expense,3032.08,Food,Food expense
2025-08-11,expense,2651.27,Education,Education expense
2025-01-22,expense,2183.78,Travel,Travel expense
2025-03-12,expense,3916.84,Snacks,Snacks expense
2025-12-29,expense,4138.01,Health,Health expense
2025-09-18,expense,1706.57,Snacks,Snacks expense
2025-12-23,expense,4262.57,Household,Household expense
2025-09-08,expense,3680.27,Subscriptions,Subscriptions expense
2025-10-08,expense,987.23,Fuel,Fuel expense
2025-09-14,expense,1746.7,Rent,Rent expense
2025-06-16,income,30188.49,Freelancing,Freelancing income
2025-10-01,expense,2605.77,Travel,Travel expense
2025-10-06,income,33800.81,Gift,Gift income
2025-03-06,expense,1256.87,Rent,Rent expense
2025-06-17,expense,937.24,Shopping,Shopping expense
2025-12-15,expense,4550.73,Rent,Rent expense
2025-07-07,expense,2131.79,Health,Health expense
2025-09-06,expense,3502.43,Snacks,Snacks expense
2025-03-14,expense,4230.18,Groceries,Groceries expense
2025-09-17,expense,2691.67,Travel,Travel expense
2025-01-15,expense,4683.53,Fuel,Fuel expense
2025-06-13,expense,3736.19,Transport,Transport expense
2025-11-15,expense,4768.96,Fuel,Fuel expense
2025-08-10,expense,281.88,Subscriptions,Subscriptions expense
2025-05-23,expense,937.61,Transport,Transport expense
2025-03-01,expense,1285.99,Transport,Transport expense
2025-01-09,expense,2737.89,Snacks,Snacks expense
2025-06-20,expense,855.71,Fuel,Fuel expense
2025-01-16,expense,1656.54,Health,Health expense
2025-08-13,expense,310.71,Food,Food expense
2025-07-24,expense,3553.97,Groceries,Groceries expense
2025-06-23,expense,1262.48,Food,Food expense
2025-04-12,expense,4474.19,Groceries,Groceries expense
2025-02-05,expense,2667.64,Food,Food expense
2025-11-24,expense,3558.03,Fuel,Fuel expense
2025-03-15,expense,2850.26,Transport,Transport expense
2025-07-26,expense,532.86,Snacks,Snacks expense
2025-06-18,income,37100.2,Freelancing,Freelancing income
2025-06-06,income,13817.07,Part-time,Part-time income
2025-05-07,expense,2064.65,Rent,Rent expense
2025-05-17,expense,1209.34,Travel,Travel expense
2025-05-15,expense,259.17,Groceries,Groceries expense
2025-02-22,expense,4078.98,Subscriptions,Subscriptions expense
2025-10-25,income,21910.67,Gift,Gift income
2025-09-17,expense,3096.62,Entertainment,Entertainment expense
2025-05-12,expense,3131.11,Education,Education expense
2025-06-12,income,16762.92,Salary,Salary income
2025-02-21,expense,3898.27,Shopping,Shopping expense
2025-02-15,expense,1322.81,Food,Food expense
2025-09-12,expense,2499.52,Food,Food expense
2025-06-15,expense,3630.79,Entertainment,Entertainment expense
2025-05-04,expense,3325.17,Food,Food expense
2025-03-28,expense,2710.98,Groceries,Groceries expense
2025-05-07,expense,4814.96,Groceries,Groceries expense
2025-01-01,expense,1558.37,Entertainment,Entertainment expense
2025-02-06,expense,2230.9,Household,Household expense
2025-03-04,expense,1823.95,Snacks,Snacks expense
2025-03-13,income,14902.94,Salary,Salary income
2025-05-06,income,40786.78,Part-time,Part-time income
2025-01-04,expense,4716.49,Transport,Transport expense
2025-09-07,expense,2453.6,Health,Health expense
2025-04-02,expense,423.61,Rent,Rent expense
2025-06-29,expense,1011.08,Rent,Rent expense
2025-02-05,expense,4190.99,Shopping,Shopping expense
2025-07-13,expense,1214.27,Health,Health expense
2025-05-24,expense,1464.08,Health,Health expense
2025-09-23,expense,3302.6,Groceries,Groceries expense
2025-06-23,expense,1474.12,Shopping,Shopping expense
2025-08-01,income,34762.61,Part-time,Part-time income
2025-05-27,income,18635.37,Gift,Gift income
2025-02-13,expense,3320.9,Shopping,Shopping expense
2025-11-12,income,25433.1,Salary,Salary income
2025-09-12,expense,1850.33,Snacks,Snacks expense
2025-10-05,expense,3992.32,Fuel,Fuel expense
2025-09-16,expense,1603.27,Snacks,Snacks expense
2025-04-25,expense,90.87,Snacks,Snacks expense
2025-09-15,expense,4999.59,Food,Food expense
2025-01-28,expense,1629.54,Subscriptions,Subscriptions expense
2025-09-21,expense,3130.66,Transport,Transport expense
2025-01-28,expense,446.78,Subscriptions,Subscriptions expense
2025-12-25,expense,4237.58,Household,Household expense
2025-11-18,income,24480.48,Salary,Salary income
2025-04-08,income,48268.62,Part-time,Part-time income
2025-01-01,expense,2177.5,Groceries,Groceries expense
2025-12-18,expense,1226.46,Travel,Travel expense
2025-12-20,expense,439.51,Bills,Bills expense
2025-11-24,expense,375.25,Snacks,Snacks expense
2025-01-29,expense,4888.93,Snacks,Snacks expense
2025-03-30,income,46174.89,Bonus,Bonus income
2025-09-30,expense,2739.74,Travel,Travel expense
2025-03-30,expense,3640.85,Food,Food expense
2025-04-21,income,21393.55,Salary,Salary income
2025-08-21,income,40306.11,Bonus,Bonus income
2025-07-11,expense,912.96,Education,Education expense
2025-07-09,expense,4202.49,Subscriptions,Subscriptions expense
2025-05-05,expense,3853.53,Shopping,Shopping expense
2025-07-21,expense,1932.26,Health,Health expense
2025-07-01,expense,862.53,Food,Food expense
2025-01-12,expense,221.78,Travel,Travel expense
2025-02-27,expense,68.23,Transport,Transport expense
2025-02-13,expense,1149.54,Groceries,Groceries expense
2025-08-17,income,9350.9,Bonus,Bonus income
2025-05-26,expense,325.98,Bills,Bills expense
2025-08-13,income,19809.89,Gift,Gift income
2025-06-22,expense,4609.18,Fuel,Fuel expense
2025-03-11,expense,1476.45,Travel,Travel expense
2025-04-22,expense,3139.71,Health,Health expense
2025-06-01,expense,3594.45,Food,Food expense
2025-05-14,expense,3804.87,Transport,Transport expense
2025-09-21,expense,282.02,Shopping,Shopping expense
2025-08-11,expense,1245.56,Shopping,Shopping expense
2025-08-22,expense,1164.14,Shopping,Shopping expense
2025-06-02,expense,2572.98,Subscriptions,Subscriptions expense
2025-11-19,expense,1236.1,Health,Health expense
2025-06-05,expense,1396.13,Travel,Travel expense
2025-03-20,expense,1707.96,Subscriptions,Subscriptions expense
2025-08-31,expense,168.74,Fuel,Fuel expense
2025-11-08,income,5307.5,Bonus,Bonus income
2025-06-23,expense,3178.56,Rent,Rent expense
2025-03-11,expense,1847.76,Education,Education expense
2025-05-09,expense,1252.01,Fuel,Fuel expense
2025-01-06,expense,1048.46,Health,Health expense
2025-01-16,expense,258.68,Travel,Travel expense
2025-05-06,expense,1037.18,Fuel,Fuel expense
2025-05-17,expense,574.09,Subscriptions,Subscriptions expense
2025-09-07,expense,3898.67,Snacks,Snacks expense
2025-01-08,expense,2130.23,Subscriptions,Subscriptions expense
2025-09-18,expense,4302.57,Food,Food expense
2025-01-29,income,19317.36,Bonus,Bonus income
2025-06-03,expense,4090.0,Household,Household expense
2025-10-08,expense,78.11,Bills,Bills expense
2025-12-03,expense,2348.32,Transport,Transport expense
2025-10-05,income,17996.46,Salary,Salary income
2025-07-22,expense,3319.58,Travel,Travel expense
2025-07-04,income,9459.22,Freelancing,Freelancing income
2025-06-14,expense,4593.07,Bills,Bills expense
2025-05-30,expense,4269.19,Shopping,Shopping expense
2025-04-09,expense,4820.1,Household,Household expense
2025-04-13,income,35730.38,Bonus,Bonus income
2025-12-17,expense,2381.81,Fuel,Fuel expense
2025-10-17,expense,977.05,Bills,Bills expense
2025-12-14,expense,4016.78,Fuel,Fuel expense
2025-03-03,income,39285.83,Freelancing,Freelancing income
2025-10-14,expense,3435.89,Entertainment,Entertainment expense
2025-11-13,expense,3253.42,Subscriptions,Subscriptions expense
2025-10-24,expense,2670.37,Transport,Transport expense
2025-11-10,expense,1883.41,Rent,Rent expense
2025-03-30,expense,4436.32,Health,Health expense
2025-10-20,expense,1794.26,Household,Household expense
2025-12-07,expense,3645.35,Education,Education expense
2025-12-24,expense,2115.42,Groceries,Groceries expense
2025-02-21,income,14057.61,Part-time,Part-time income
2025-04-24,income,13510.23,Freelancing,Freelancing income
2025-04-29,expense,3799.32,Subscriptions,Subscriptions expense
2025-09-15,expense,347.77,Fuel,Fuel expense
2025-09-04,expense,548.34,Travel,Travel expense
2025-11-26,income,45957.39,Gift,Gift income
2025-01-26,expense,3523.89,Household,Household expense
2025-09-24,expense,4389.94,Travel,Travel expense
2025-12-31,expense,4077.22,Subscriptions,Subscriptions expense
2025-06-03,expense,574.15,Transport,Transport expense
2025-06-22,income,37330.74,Salary,Salary income
2025-12-16,expense,3967.06,Subscriptions,Subscriptions expense
2025-03-13,expense,1969.77,Entertainment,Entertainment expense
2025-06-08,expense,955.77,Snacks,Snacks expense
2025-12-21,expense,2484.33,Household,Household expense
2025-08-20,expense,88.41,Snacks,Snacks expense
2025-06-03,expense,3035.12,Groceries,Groceries expense
2025-01-30,income,18668.27,Bonus,Bonus income
2025-07-26,income,25731.12,Freelancing,Freelancing income
2025-01-03,expense,1729.77,Education,Education expense
2025-10-12,expense,4494.11,Subscriptions,Subscriptions expense
2025-10-04,expense,2498.23,Household,Household expense
2025-02-23,expense,702.78,Transport,Transport expense
2025-04-12,expense,2572.66,Snacks,Snacks expense
2025-04-17,expense,264.7,Bills,Bills expense
2025-12-20,expense,4754.51,Subscriptions,Subscriptions expense
2025-02-04,expense,2247.76,Rent,Rent expense
2025-04-03,expense,2407.31,Household,Household expense
2025-05-07,expense,2156.06,Transport,Transport expense
2025-09-05,expense,4559.77,Travel,Travel expense
2025-09-30,expense,74.44,Transport,Transport expense
2025-08-10,income,7060.86,Part-time,Part-time income
2025-05-05,expense,3756.19,Groceries,Groceries expense
2025-04-30,expense,4200.28,Household,Household expense
2025-02-25,expense,658.37,Household,Household expense
2025-01-28,income,24694.07,Bonus,Bonus income
2025-02-25,expense,2729.45,Entertainment,Entertainment expense
2025-10-15,expense,602.32,Entertainment,Entertainment expense
2025-06-25,expense,1111.12,Education,Education expense
2025-10-27,expense,2106.54,Snacks,Snacks expense
2025-06-11,income,17385.0,Freelancing,Freelancing income
2025-03-14,expense,3871.95,Fuel,Fuel expense
2025-07-07,expense,3060.89,Transport,Transport expense
2025-08-20,expense,1418.34,Subscriptions,Subscriptions expense
2025-03-13,expense,3269.03,Entertainment,Entertainment expense
2025-07-20,expense,4848.73,Subscriptions,Subscriptions expense
2025-09-10,expense,203.96,Entertainment,Entertainment expense
2025-05-04,expense,3886.11,Fuel,Fuel expense
2025-12-30,expense,3414.25,Entertainment,Entertainment expense
2025-12-30,expense,2263.9,Subscriptions,Subscriptions expense
2025-02-09,expense,4799.78,Subscriptions,Subscriptions expense
2025-06-02,expense,1101.35,Groceries,Groceries expense
2025-07-07,expense,4132.79,Bills,Bills expense
2025-12-20,income,34456.28,Gift,Gift income
2025-12-21,expense,4034.05,Education,Education expense
2025-07-22,expense,3070.02,Subscriptions,Subscriptions expense
2025-07-14,expense,1100.33,Bills,Bills expense
2025-07-18,expense,3739.79,Food,Food expense
2025-09-17,expense,4418.08,Health,Health expense
2025-07-31,income,47537.29,Freelancing,Freelancing income
2025-04-20,expense,4692.01,Health,Health expense
2025-05-10,expense,4558.61,Travel,Travel expense
2025-02-19,expense,1047.17,Snacks,Snacks expense
2025-07-03,expense,4256.82,Fuel,Fuel expense
2025-01-31,expense,2948.04,Groceries,Groceries expense
2025-04-04,expense,2033.31,Bills,Bills expense
2025-03-04,expense,234.02,Snacks,Snacks expense
2025-01-10,expense,4485.68,Subscriptions,Subscriptions expense
2025-03-13,expense,1048.15,Education,Education expense
2025-07-12,expense,3944.15,Transport,Transport expense
2025-12-02,expense,374.51,Bills,Bills expense
2025-10-17,expense,3293.69,Food,Food expense
2025-03-11,expense,756.68,Travel,Travel expense
2025-04-02,expense,2248.18,Groceries,Groceries expense
2025-03-11,expense,1440.56,Transport,Transport expense
2025-06-13,expense,242.57,Rent,Rent expense
2025-06-28,expense,3674.97,Health,Health expense
2025-04-09,expense,2428.0,Entertainment,Entertainment expense
2025-10-06,income,15544.38,Freelancing,Freelancing income
2025-02-10,expense,1224.53,Travel,Travel expense
2025-04-29,expense,1399.82,Health,Health expense
2025-10-08,expense,817.59,Entertainment,Entertainment expense
2025-09-19,expense,3979.49,Education,Education expense
2025-08-17,income,46174.31,Bonus,Bonus income
2025-01-14,income,37462.19,Part-time,Part-time income
2025-03-25,expense,1469.7,Rent,Rent expense
2025-07-22,expense,4590.28,Entertainment,Entertainment expense
2025-11-27,income,31358.89,Salary,Salary income
2025-12-14,expense,3110.1,Fuel,Fuel expense
2025-04-09,expense,1112.01,Fuel,Fuel expense
2025-12-07,expense,1334.61,Education,Education expense
2025-11-07,expense,3926.1,Household,Household expense
2025-07-12,expense,1675.56,Bills,Bills expense
2025-05-29,expense,243.3,Entertainment,Entertainment expense
2025-09-02,expense,360.0,Subscriptions,Subscriptions expense
2025-01-10,expense,312.87,Shopping,Shopping expense
2025-06-13,expense,1170.55,Rent,Rent expense
2025-07-10,expense,940.74,Health,Health expense
2025-03-21,expense,2104.82,Travel,Travel expense
2025-05-31,income,19122.44,Salary,Salary income
2025-07-13,expense,1575.34,Rent,Rent expense
2025-03-16,expense,972.53,Education,Education expense
2025-01-12,expense,4232.74,Household,Household expense
2025-03-07,expense,1749.49,Snacks,Snacks expense
2025-12-12,expense,3779.14,Fuel,Fuel expense
2025-10-28,expense,1409.19,Household,Household expense
2025-01-04,income,5172.82,Salary,Salary income
2025-04-18,income,35655.57,Part-time,Part-time income
2025-07-25,expense,2291.44,Transport,Transport expense
2025-07-05,expense,3375.99,Shopping,Shopping expense
2025-10-08,expense,1499.35,Snacks,Snacks expense
2025-04-20,expense,1274.44,Transport,Transport expense
2025-01-20,expense,97.75,Fuel,Fuel expense
2025-03-01,income,45047.6,Part-time,Part-time income
2025-04-21,expense,3822.79,Bills,Bills expense
2025-05-13,income,24030.63,Salary,Salary income
2025-04-02,expense,4926.6,Fuel,Fuel expense
2025-08-26,income,21458.55,Salary,Salary income
2025-07-03,expense,4504.7,Subscriptions,Subscriptions expense
2025-07-23,expense,1752.99,Subscriptions,Subscriptions expense
2025-03-15,expense,4214.67,Groceries,Groceries expense
2025-11-03,expense,240.08,Food,Food expense
2025-08-21,income,1422.63,Part-time,Part-time income
2025-02-14,income,10589.56,Gift,Gift income
2025-02-09,income,31601.91,Salary,Salary income
2025-04-14,income,46623.75,Freelancing,Freelancing income
2025-06-23,expense,2447.3,Food,Food expense
2025-07-02,expense,3059.35,Snacks,Snacks expense
2025-08-03,expense,2893.1,Entertainment,Entertainment expense
2025-10-20,expense,4142.41,Snacks,Snacks expense
2025-04-01,expense,1337.23,Snacks,Snacks expense
2025-12-20,income,42590.76,Salary,Salary income
2025-10-13,expense,2082.08,Bills,Bills expense
2025-10-24,expense,2461.12,Health,Health expense
2025-10-04,expense,2826.25,Fuel,Fuel expense
2025-11-12,expense,99.63,Health,Health expense
2025-01-03,expense,4602.03,Groceries,Groceries expense
2025-01-20,expense,440.98,Entertainment,Entertainment expense
2025-02-07,expense,1097.09,Household,Household expense
2025-11-02,expense,3741.13,Bills,Bills expense
2025-03-22,expense,4015.38,Shopping,Shopping expense
2025-03-10,income,29564.76,Bonus,Bonus income
2025-09-19,expense,2525.89,Education,Education expense
2025-12-06,expense,306.01,Bills,Bills expense
2025-07-01,income,36181.1,Gift,Gift income
2025-12-01,expense,4240.59,Groceries,Groceries expense
2025-01-12,expense,4163.76,Entertainment,Entertainment expense
2025-02-19,expense,4880.85,Bills,Bills expense
2025-09-08,expense,1947.26,Entertainment,Entertainment expense
2025-08-19,expense,1157.98,Travel,Travel expense
2025-11-13,expense,4352.58,Groceries,Groceries expense
2025-12-16,expense,1107.72,Bills,Bills expense
2025-08-21,income,39940.41,Salary,Salary income
2025-12-16,expense,1381.5,Groceries,Groceries expense
2025-02-09,expense,2704.08,Health,Health expense
2025-07-29,expense,3553.4,Food,Food expense
2025-06-29,income,24335.52,Gift,Gift income
2025-04-06,income,42324.97,Bonus,Bonus income
2025-06-02,expense,3464.08,Education,Education expense
2025-10-01,expense,1763.95,Rent,Rent expense
2025-11-22,expense,113.8,Household,Household expense
2025-08-08,expense,2069.01,Travel,Travel expense
2025-03-22,expense,2682.11,Shopping,Shopping expense
2025-07-22,expense,1215.82,Rent,Rent expense
2025-03-16,expense,463.02,Shopping,Shopping expense
2025-05-12,expense,1011.71,Travel,Travel expense
2025-12-28,income,20865.77,Gift,Gift income
2025-03-18,income,9900.44,Salary,Salary income
2025-07-19,expense,1550.62,Subscriptions,Subscriptions expense
2025-06-14,expense,3841.27,Shopping,Shopping expense
2025-04-08,expense,4825.35,Groceries,Groceries expense
2025-06-04,income,23459.44,Salary,Salary income
2025-02-14,expense,4931.31,Groceries,Groceries expense
2025-02-07,expense,2952.15,Entertainment,Entertainment expense
2025-11-28,expense,2758.24,Health,Health expense
2025-10-21,expense,4189.74,Health,Health expense
2025-05-01,expense,537.2,Subscriptions,Subscriptions expense
2025-10-22,expense,395.71,Entertainment,Entertainment expense
2025-01-23,expense,1688.2,Snacks,Snacks expense
2025-10-02,income,15783.45,Bonus,Bonus income
2025-09-15,expense,551.76,Shopping,Shopping expense
2025-05-08,expense,2827.14,Education,Education expense
2025-03-26,expense,4493.64,Entertainment,Entertainment expense
2025-12-04,expense,3505.37,Rent,Rent expense
2025-08-13,income,17659.67,Salary,Salary income
2025-12-09,expense,3041.38,Transport,Transport expense
2025-03-09,expense,1269.96,Bills,Bills expense
2025-07-20,expense,4375.98,Transport,Transport expense
2025-06-16,expense,1975.37,Education,Education expense
2025-04-01,income,35876.74,Bonus,Bonus income
2025-01-27,expense,2543.27,Entertainment,Entertainment expense
2025-11-15,expense,4852.85,Shopping,Shopping expense
2025-06-29,expense,4794.98,Transport,Transport expense
2025-04-02,income,17093.52,Part-time,Part-time income
2025-09-27,expense,770.59,Shopping,Shopping expense
2025-05-17,expense,3164.94,Education,Education expense
2025-07-16,income,44898.25,Gift,Gift income
2025-10-23,expense,507.17,Subscriptions,Subscriptions expense
2025-11-12,expense,3759.05,Health,Health expense
2025-10-31,expense,391.95,Snacks,Snacks expense
2025-01-06,expense,2925.05,Education,Education expense
2025-11-19,expense,497.28,Shopping,Shopping expense
2025-11-11,income,27841.27,Part-time,Part-time income
2025-08-05,expense,4965.54,Health,Health expense
2025-09-25,expense,1809.74,Health,Health expense
2025-06-10,expense,3605.75,Subscriptions,Subscriptions expense
2025-07-07,income,15638.65,Freelancing,Freelancing income
2025-06-09,expense,1101.59,Entertainment,Entertainment expense
2025-07-17,expense,1627.47,Health,Health expense
2025-08-11,income,11070.68,Salary,Salary income
2025-11-19,expense,4265.82,Entertainment,Entertainment expense
2025-04-03,expense,577.65,Health,Health expense
2025-03-23,expense,3425.0,Fuel,Fuel expense
2025-07-05,expense,2354.09,Bills,Bills expense
2025-08-20,expense,4508.22,Health,Health expense
2025-11-21,income,38589.32,Salary,Salary income
2025-07-07,expense,2271.41,Shopping,Shopping expense
2025-06-10,expense,1590.06,Snacks,Snacks expense
